"dataset","site","date_year_month","intermittent_perennial","before_after","Psilometriocnemus","Paraleptophlebia","Stictochironomus","Paratanytarsus","Pseudosuccinea","Eukiefferiella","Tipula","Bezzia","Cricotopus","Baetis","Hyalella","Micropsectra","Sphaerium","Gammarus","Simulium","Diplocladius","Caenis","Gyraulus","Tvetnia","Optioservus","Corynoneura","Paraphaenocladius","Chironomus","Pseudosmittia","Cladotanytarsus","Agabus","Ceratopsyche","Ochrotrichia","Paratendipes"
"sodak_rv","4081872","8-Aug","perennial","after",0,0,0,0,0,0,718.1818182,163.6363636,0,9.090909091,0,0,0,409.0909091,0,0,4.545454545,0,0,0,0,0,0,0,0,9.090909091,4.545454545,0,0
"sodak_rv","4081894","8-Apr","perennial","before",0,0,0,0,2,4,1,9,184,0,1,0,0,0,7,73,0,0,0,0,0,17,0,0,0,1,0,0,5
"sodak_rv","4081894","8-Jun","perennial","after",0,12.09677419,0,92.74193548,20.16129032,737.9032258,0,16.12903226,116.9354839,4.032258065,4.032258065,16.12903226,0,0,12.09677419,0,0,0,0,0,0,221.7741935,0,0,0,4.032258065,0,145.1612903,0
"sodak_rv","4083884","8-Apr","intermittent","before",0,0,0,0,15,0,176,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0
"sodak_rv","4083884","8-Jun","intermittent","after",0,0,0,3.278688525,1.639344262,0,0,0,18.03278689,0,0,0,0,0,0,6.557377049,0,1.639344262,0,0,6.557377049,0,9.836065574,186.8852459,0,3.278688525,0,0,0
"sodak_rv","4085172","8-May","intermittent","before",0,1181.818182,6.060606061,0,0,0,0,12.12121212,48.48484848,0,0,72.72727273,0,0,0,0,0,0,0,0,54.54545455,24.24242424,6.060606061,0,36.36363636,18.18181818,0,0,0
"sodak_rv","4085172","8-Aug","intermittent","after",0,0,0,69.09090909,465.4545455,43.63636364,0,7.272727273,0,0,3.636363636,261.8181818,3.636363636,0,0,0,10.90909091,7.272727273,0,0,58.18181818,0,3.636363636,0,0,3.636363636,0,0,0
"sodak_rv","4112628","8-May","perennial","before",0,42.90429043,0,6.600660066,0,0,0,16.50165017,13.20132013,0,0,13.20132013,9.900990099,0,0,3.300330033,9.900990099,0,0,0,62.70627063,0,0,3.300330033,0,6.600660066,0,0,13.20132013
"sodak_rv","4112628","8-Aug","perennial","after",0,0,0,0,0,0,0,0,0,0,28.22580645,0,28.22580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4516129
"sodak_rv","9370620","8-Apr","intermittent","before",2163.636364,12.12121212,0,6.060606061,175.7575758,0,0,0,0,0,0,0,0,0,0,42.42424242,0,36.36363636,0,0,0,0,0,0,0,0,0,0,0
"sodak_rv","9370620","8-Jun","intermittent","after",1478.787879,436.3636364,0,0,248.4848485,0,0,0,0,0,0,24.24242424,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,6.060606061,0,0,0
"sodak_rv","9370678","8-Apr","intermittent","before",2454.545455,0,0,0,90.90909091,90.90909091,90.90909091,0,0,0,0,0,0,0,0,227.2727273,0,227.2727273,0,0,90.90909091,0,318.1818182,45.45454545,0,90.90909091,0,0,45.45454545
"sodak_rv","9370678","8-Jun","intermittent","after",202.0725389,1207.253886,0,0,326.4248705,0,0,0,0,0,0,10.3626943,0,0,0,0,0,0,0,0,10.3626943,0,0,0,10.3626943,0,0,0,0
"sodak_rv","9375752","8-Apr","perennial","before",5,0,7,0,0,0,1,25,27,0,29,15,86,0,38,33,0,8,0,0,0,0,1,12,0,2,0,0,1
"sodak_rv","9375752","8-Jun","perennial","after",0,0,1684.848485,127.2727273,0,0,0,24.24242424,12.12121212,157.5757576,42.42424242,12.12121212,218.1818182,0,6.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
